option,SKU,AOC-SP-10G,AOC-S28-25G,AOC-QP-56G,AOC-QP-40G,AOC-QP-56G,AOC-Q28-100G,AOC-Q56-200G,AOC-QDD-400G,AOC-I-SP-10G,AOC-I-S28-25G
0.5 m / 1.64 ft,050CM,26.00,52.00,469.00,84.00,119.00,159.00,799.00,,74.00,128.00
0.6 m / 2 ft,002FT,26.00,52.00,469.00,84.00,119.00,159.00,799.00,,74.00,128.00
0.91 m / 3 ft,003FT,26.00,52.00,469.00,84.00,119.00,159.00,799.00,,74.00,128.00
1 m / 3.28 ft,001M,26.00,52.00,469.00,84.00,119.00,159.00,799.00,,74.00,128.00
1.21 m / 4 ft,004FT,26.00,52.00,469.00,85.00,120.00,160.00,802.00,,74.00,128.00
1.52 m / 5 ft,005FT,26.00,52.00,469.00,85.00,120.00,160.00,802.00,,74.00,128.00
1.82 m / 6 ft,006FT,26.00,52.00,469.00,85.00,120.00,160.00,802.00,,74.00,128.00
2 m / 6.56 ft,002M,27.00,53.00,470.00,86.00,121.00,161.00,809.00,799.00,75.25,129.00
2.12 m / 7 ft,007FT,27.00,53.00,470.00,86.00,121.00,161.00,809.00,799.00,75.25,129.00
2.43 m / 8 ft,008FT,27.00,53.00,470.00,86.00,121.00,162.00,809.00,799.00,75.25,129.00
2.74 m / 9 ft,009FT,27.00,53.00,470.00,86.00,121.00,162.00,809.00,799.00,75.25,129.00
3 m / 9.84 ft,003M,27.00,53.00,471.00,87.00,122.00,163.00,819.00,809.00,76.50,130.00
3.05 m / 10 ft,010FT,27.00,53.00,471.00,87.00,122.00,164.00,819.00,809.00,76.50,130.00
4 m / 13.12 ft,004M,27.00,54.00,471.00,88.00,123.00,165.00,819.00,809.00,77.00,130.00
4.57 m / 15 ft,015FT,27.00,54.00,472.00,89.00,123.00,166.00,819.00,809.00,77.00,130.00
5 m / 16.40 ft,005M,28.00,55.00,473.00,90.00,125.00,167.00,819.00,819.00,79.00,133.00
6.09 m / 20 ft,020FT,29.00,55.00,474.00,91.00,125.00,169.00,819.00,819.00,79.00,133.00
7 m / 22.96 ft,007M,30.00,56.00,475.00,93.00,129.00,171.00,824.00,829.00,81.50,135.00
9.14 m / 30 ft,030FT,30.00,57.00,477.00,95.00,131.00,174.00,824.00,829.00,81.50,135.00
10 m / 32.80 ft,010M,31.00,58.00,478.00,98.00,133.00,177.00,829.00,839.00,85.25,139.00
12.19 m / 40 ft,040FT,32.00,60.00,480.00,101.00,136.00,182.00,829.00,839.00,85.25,139.00
15 m / 49.21 ft,015M,34.00,62.00,483.00,105.00,140.00,187.00,839.00,869.00,91.50,145.00
15.24 m / 50 ft,050FT,35.00,63.00,484.00,106.00,141.00,188.00,839.00,869.00,91.50,145.00
20 m /  65.61 ft,020M,37.00,65.00,488.00,113.00,148.00,197.00,839.00,889.00,97.75,151.00
25 m /  82.02 ft,025M,40.00,69.00,493.00,120.00,155.00,207.00,849.00,919.00,104.00,158.00
30 m /  98.42 ft,030M,43.00,72.00,498.00,128.00,163.00,217.00,859.00,939.00,110.25,164.00
30.48 m /  100 ft,100FT,,,498.00,128.00,163.00,,859.00,939.00,110.25,164.00
40 m / 131.23 ft,040M,,,508.00,143.00,178.00,,874.00,988.00,122.00,175.00
45.72 m / 150 ft,150FT,,,508.00,143.00,178.00,,874.00,988.00,122.00,175.00
50 m / 164.04 ft,050M,,,518.00,158.00,193.00,,889.00,1039.00,135.25,189.00
60.96 m / 200 ft,200FT,,,,,,,915.00,1039.00,148.00,192.00
70 m / 229.65 ft,070M,,,,,,,934.00,1039.00,160.25,214.00
80 m / 262.46 ft,080M,,,,,,,954.00,1100.00,,
91.44 m /  300 ft,300FT,,,,,,,975.00,1200.00,,
100 m / 328.08 ft,100M,,,,,,,979.00,1289.00,,
,,,,,,,,,,,
